ascii,unicode,collection,pairs,reserved,premium,status,notes,hash,nope,beachfront,description,tier,tier (toptlds),emoji,reserved
xn--81g,°F,science,,,,,,8749ab0922db2b3d8dd448ed06e0ed0d1eb4334f6cf49cf3ae6cf9eee5befc7b,,,,DEFAULT,DEFAULT,,
xn--rca,×,math,,,,,,1397e258d3fcd58288903e6057194873b08cc793215bfeb6d6582ffea5c955ff,,,,DEFAULT,DEFAULT,,
xn--p3h,★,&c,,,,,,9648f666a804950396ab65d7aefe0296227acb5e8cd723feccc7372a76c10a74,,,,DEFAULT,DEFAULT,,
xn--74h6500f32xg,☺️🚛,,,,,,,9d343ed0b0905ba5fbcfa27f627345a085e71574ba62ab50a87e1b195a0ee8d4,,,,DEFAULT,DEFAULT,TRUE,
xn--6bia31156ara,✋🏻✋🏿,,,,,,,b3fb670803a2d8c1405d532bacaa6e6b7e1bfa90bc8e24acb5ce512686b995ae,,,,DEFAULT,DEFAULT,TRUE,
xn--6bia41156aoa,✋🏿✋🏻,,,,,,,db56b85171ff6153b072065d679b7956b2c9b204371a52bcc91edd40460f3df2,,,,DEFAULT,DEFAULT,TRUE,
xn--3l8hea,🏆🏈,,,,,,,c720ce7dd3f0227880ba77c3e0ce31577138a2f7c6e26bd6506db173eadf4013,,,,DEFAULT,DEFAULT,TRUE,
xn--km8h,🏖,,,,,private,,6bddc2af9dbeb5a9ece82f692328889e40038c5545e6e828b227dd839b19ea7d,,,,LEGENDARY,RARE,,
xn--co8hfc,🐷🐔,"food, nature","🥓🥚, 🥓🍳",,"breakfast, delish, eat, farm, meal, menu, sandwich, table, 🥢, 🍴, 🍽",,,9440c2d2ed423a73cdffe934089fbe910e5023dea884d7565621de49e46ae8f7,,TRUE,,DEFAULT,DEFAULT,TRUE,
xn--kp8h05f,🐿🥜,,,,,,,cba82d5da6cbb58e6fac7385128b666c3708614fa2d665fb9ace7b891d06c049,,,,DEFAULT,DEFAULT,TRUE,
xn--qn8ha0ub,👋🏿👋🏿,,,,,,,a1f89bfd0767ba80af677e1c3b17e5e5d8f8463bf839fbaa4c6f8c7ac71318cf,,,,LEGENDARY,DEFAULT,,
xn--pn8h7e,👏🏾,culture,,,"exactly, fact, facts, fax, folx",,,cae57c064f5088e7fe2c7d200c7f3380418de4c4d645dfa6cf551e9c67dc5899,,TRUE,,LEGENDARY,LEGENDARY,TRUE,
xn--qn8hrgn1d,👨🏿🚀,,,,,,,81aaadda44eb1182d60eca8236a3753d2ff34f6594a08476aabcf0388b1e35c4,,,,LEGENDARY,LEGENDARY,,
xn--cr8h,👽,cosmic,,xfiles,"aircraft, alien, aliens, area, area51, earth, earthling, et, extra, file, files, ftw, greet, greetings, holy, holyshit, issa, its, omg, roswell, ship, space, spaceship, terra, terran, the, travel, wtf",,,b5a29e918fbee40b5fee83f35c091106d485f29f808d2ce8cd920a9fd0f850cb,,TRUE,,LEGENDARY,LEGENDARY,TRUE,taylor.👽 (tetrashapes)
xn--ri8hxs,👽🍑,,,,,,,3872e7982a29b94c8fcd8dc3b4a6bf70acf6065bad8b1cbd0998067e4e15a01a,,,,DEFAULT,DEFAULT,TRUE,
xn--dr8haaa,👾👾👾👾,game,,,,private,,8d4c009836f43dc582388baf9c074691fbbb74f5526dbea3f9a60c967caa94d3,,,,DEFAULT,DEFAULT,TRUE,
xn--q68hp3b,🤐🚘,,,,,,,813ce06c257ac4959c72ce70900d23d11f1bc09b375f293e64a26f8e7ece85d1,,,,DEFAULT,DEFAULT,TRUE,
xn--ks8h54e,🤘💨,&c,,,,,,cfc467fc6945a521a448a3883d081457a756c831dd0f648f5262db476d03f26b,,,,DEFAULT,DEFAULT,TRUE,
xn--qj8h57g,🥓🍳,food,"🐷🐔, 🥓🥚",,"breakfast, delish, eat, farm, meal, menu, sandwich, table, 🥢, 🍴, 🍽",,,cd2ee49c326b0923da5954aec8ba5007d0d689b24a5ca94d7e7e8e4c2a458bf1,,TRUE,,DEFAULT,DEFAULT,TRUE,
xn--pr9hoa,🥓🥚,food,"🐷🐔, 🥓🍳",,"breakfast, delish, eat, farm, meal, menu, sandwich, table, 🥢, 🍴, 🍽",,,a81e01b301b652ded82e3d84c5c8a75ac3dd6663d33ff4833f52a7cb7dca1298,,TRUE,,DEFAULT,DEFAULT,TRUE,
xn--dk8hp3b,😁🎉,,,,,,,ea71fc3ad143f5a63261b4e6382a6b27e85440dad2c918c38856cc137ad5c752,,,,DEFAULT,DEFAULT,TRUE,
xn--938hrf,🚛🙂,,,,,,,a160b16d31d785890e83d4ddc126f83cc740e8c09eaeedd43acacc68ccbf8ab0,,,,DEFAULT,DEFAULT,TRUE,
xn--x5iv313ecwygga,🟥⬜️🟦,&c,,,,,,36195aba50aff6cdc39a1a067170d9b01720fb156f9ce9b1bcaf823bdbee564f,,,,DEFAULT,DEFAULT,TRUE,
xn--izg,₩,,,,,private,,0d24b93d05265919da485be042da8d585979ee1b9682771ce5d52c9cbd6180e1,,,,DEFAULT,DEFAULT,,
0451,0451,deus ex,,,,,,c0f42625e10bb8db3c72621773afd7bb5e7f2fa294fb177c3a879cf93cefbcc9,,,,DEFAULT,DEFAULT,,
07d0eb,07d0eb,,,,,private,,c0dcc78b8776169fcd001dc25c27f075843d79ea3b2a257e2dbfb5993c1b3466,,,,COMMON,DEFAULT,,
0x01,0x01,development,,,,,"a hex number that translates to ""1"" in binary",8838c4f2a8a6f73e9cf21291e90c4d78cc2a2f0e6b46152019485957c074aab7,,TRUE,0x01 represents the decimal value `1` in hexadecimal notation. This extension is perfect for technical blogs and websites.,DEFAULT,DEFAULT,,
0xa0,0xa0,development,,,,,,3e88557def36a8b8727d00c004298879dfda21535b0627ef0b3da9eb575de192,,TRUE,0xa0 represents `&nbsp;` (non-breaking space) in HTML. It also represents the number `160` in hexadecimal notation. This extension is perfect for technical blogs and websites.,DEFAULT,DEFAULT,,
1date,1date,,,,,,,b6129bfa44b799a5a1e82531125a06eb492cd9ef39b218b98f52901565e8b40e,,,,RARE,DEFAULT,,
2077,2077,cyberpunk,,,,,,31fb3b3595a74147762bd51841bb8bb7a449fd12dd0afd53cbe6b4aaddeee10b,,,,DEFAULT,DEFAULT,,
247366,247366,culture,,,,,,6544612313d8b8ad59c787637b09cd9ac2d14f95421df977d362ce594afb346b,,,,DEFAULT,DEFAULT,,
24hrs,24hrs,shop,,,,,,d93c03c53a56586ddb822a283e86ef48abe8c3a9fdb83a553d09c306ae5d3be9,,,,DEFAULT,DEFAULT,,
2oo,2oo,&c,,,,,,63f7f1355a623282b1dc33faa85c10a0c0d6f88065dc0919fd71a4ef5274545c,,,,DEFAULT,DEFAULT,,
xn--rrh,④,&c,,,,,,2e9cc92a9dc091f0b0c18fd9aeb3bf462bdf93943a46ac4ca3648e58f34d98a5,,,,DEFAULT,DEFAULT,,
50p,50p,shop,,,,,,b4bf29f34fe2ddf9f6de91480a0ce54e0f927e18aed662544e96579785545ead,,,,DEFAULT,DEFAULT,,
5oo,5oo,&c,,,,,,307c438d5b029fc90d6f6969c2f59c49c0252fc596866decf6dcc66d1e187e8a,,,,DEFAULT,DEFAULT,,
abilao,abilao,nature,,,"fruit, grow, ripe, tree",,,e7288738b73380c0c795ab6c7aa16d57861f3f11a4db179ac04913ff0971cc82,,,,DEFAULT,RARE,,
acapella,acapella,music,acappella,,"audio, perform, rap, sing",,,ee228738a50eae119767744de4b19f66799461bcfb32f24f32fcd3a3c24110a7,,TRUE,This extension is perfect for singers and enthusiasts of singing without instrumental accompaniment.,DEFAULT,DEFAULT,,
acappella,acappella,music,acapella,,"audio, perform, rap, sing",,,6e693aec702702669bb9cc5a66089e7ca8c98de63db97eb29be7b764e141cfc4,,TRUE,This extension is perfect for singers and enthusiasts of singing without instrumental accompaniment.,COMMON,COMMON,,
accentuates,accentuates,dictionary,,,,,,4b7843825f277b76f49930ce4bc362025425b25fce4ece8737920295b8972be5,,,,DEFAULT,COMMON,,
acmecorp,acmecorp,,,,,,,4f09a1194ad3de9d3675bf83fd5fe8db1b64099c3db1b3851d51f3636e9857f4,,TRUE,,DEFAULT,DEFAULT,,
